symptom_text,department
"I have a high fever, a bad cough, and I feel very weak","General Medicine"
"My chest hurts when I breathe and I feel breathless","Cardiology"
"I fell and broke my arm, it is very painful and swollen","Orthopedics"
"My stomach hurts a lot after I eat anything greasy","Gastroenterology"
"I'm having a constant throbbing headache and my vision is blurry","Neurology"
"There is an itchy red skin rash on my back and arms","Dermatology"
"I can't stop sneezing and my nose is running all the time","ENT (Ear, Nose, Throat)"
"Feeling sharp pain in my lower back when I lift things","Orthopedics"
"My heart is beating too fast and feels irregular","Cardiology"
"I feel nauseous and have been vomiting for a day","Gastroenterology"
"I have a sore throat and it's hard to swallow","ENT (Ear, Nose, Throat)"
"My joints are stiff and painful, especially in the morning","Rheumatology"
"I am having trouble sleeping and feel anxious all the time","Psychiatry"
"My child has a fever and a rash with small red spots","Pediatrics"
"I am feeling dizzy and sometimes lose my balance","Neurology"
"Frequent urination and a burning sensation","Urology"
"My vision has become cloudy and I see halos around lights","Ophthalmology"
"My tooth is aching very badly","Dentistry"
